Time,Queue Density
0,1
0.0666667,0.0732687
0.133333,0.0724418
0.2,0.073449
0.266667,0.0770503
0.333333,0.0834731
0.4,0.0872468
0.466667,0.0940459
0.533333,0.0991167
0.6,0.100096
0.666667,0.102314
0.733333,0.104274
0.8,0.104971
0.866667,0.10677
0.933333,0.108443
1,0.108334
1.06667,0.109705
1.13333,0.110806
1.2,0.111492
1.26667,0.112781
1.33333,0.11306
1.4,0.114008
1.46667,0.114709
1.53333,0.116304
1.6,0.117304
1.66667,0.119561
1.73333,0.122159
1.8,0.123487
1.86667,0.125839
1.93333,0.127218
2,0.127449
2.06667,0.128562
2.13333,0.129851
2.2,0.130216
2.26667,0.130427
2.33333,0.130451
2.4,0.130976
2.46667,0.131344
2.53333,0.132399
2.6,0.133112
2.66667,0.133202
2.73333,0.134401
2.8,0.134895
2.86667,0.135812
2.93333,0.136666
3,0.137998
3.06667,0.138273
3.13333,0.138324
3.2,0.13859
3.26667,0.13935
3.33333,0.139601
3.4,0.140428
3.46667,0.141506
3.53333,0.142924
3.6,0.143959
3.66667,0.145679
3.73333,0.146612
3.8,0.147129
3.86667,0.147529
3.93333,0.147803
4,0.148164
4.06667,0.147882
4.13333,0.146271
4.2,0.14497
4.26667,0.144049
4.33333,0.142662
4.4,0.142724
4.46667,0.142568
4.53333,0.142615
4.6,0.142556
4.66667,0.141615
4.73333,0.142717
4.8,0.14381
4.86667,0.144845
4.93333,0.145765
5,0.145468
5.06667,0.146686
5.13333,0.147807
5.2,0.149312
5.26667,0.152082
5.33333,0.155915
5.4,0.15729
5.46667,0.159732
5.53333,0.165253
5.6,0.168126
5.66667,0.17373
5.73333,0.179549
5.8,0.182954
5.86667,0.189851
5.93333,0.196012
6,0.198833
6.06667,0.204742
6.13333,0.207152
6.2,0.208066
6.26667,0.20903
6.33333,0.210425
6.4,0.211624
6.46667,0.212607
6.53333,0.214159
6.6,0.213936
6.66667,0.214355
6.73333,0.214614
6.8,0.214241
6.86667,0.214042
6.93333,0.213556
7,0.213277
7.06667,0.212784
7.13333,0.21593
7.2,0.216816
7.26667,0.220245
7.33333,0.224172
7.4,0.226041
7.46667,0.229348
7.53333,0.23311
7.6,0.235093
7.66667,0.23909
7.73333,0.242225
7.8,0.242997
7.86667,0.24306
7.93333,0.243236
8,0.241089
8.06667,0.242021
8.13333,0.242068
8.2,0.241626
8.26667,0.242394
8.33333,0.24306
8.4,0.243291
8.46667,0.243193
8.53333,0.243946
8.6,0.245008
8.66667,0.246171
8.73333,0.247147
8.8,0.247856
8.86667,0.249902
8.93333,0.251446
9,0.252716
9.06667,0.25542
9.13333,0.257269
9.2,0.258598
9.26667,0.260005
9.33333,0.26147
9.4,0.261419
9.46667,0.26187
9.53333,0.261682
9.6,0.261984
9.66667,0.261619
9.73333,0.260616
9.8,0.260726
9.86667,0.259154
9.93333,0.257622
10,0.256791
10.0667,0.255859
10.1333,0.254659
10.2,0.253887
10.2667,0.253221
10.3333,0.252163
10.4,0.251281
10.4667,0.249161
10.5333,0.246936
10.6,0.246191
10.6667,0.2446
10.7333,0.244208
10.8,0.243205
10.8667,0.2423
10.9333,0.240646
11,0.240626
11.0667,0.240207
11.1333,0.239647
11.2,0.23951
11.2667,0.238769
11.3333,0.237719
11.4,0.237448
11.4667,0.236641
11.5333,0.235748
11.6,0.235748
11.6667,0.235469
11.7333,0.235559
11.8,0.23534
11.8667,0.235164
11.9333,0.234689
12,0.234979
12.0667,0.234689
12.1333,0.23436
12.2,0.2342
12.2667,0.23411
12.3333,0.233369
12.4,0.233455
12.4667,0.232628
12.5333,0.232377
12.6,0.232562
12.6667,0.232131
12.7333,0.232389
12.8,0.232193
12.8667,0.231774
12.9333,0.231797
13,0.234012
13.0667,0.234447
13.1333,0.234458
13.2,0.234552
13.2667,0.234568
13.3333,0.234447
13.4,0.234403
13.4667,0.234384
13.5333,0.234737
13.6,0.234811
13.6667,0.235156
13.7333,0.234807
13.8,0.234646
13.8667,0.234396
13.9333,0.234415
14,0.234537
14.0667,0.234979
14.1333,0.234968
14.2,0.234854
14.2667,0.234396
14.3333,0.234321
14.4,0.234055
14.4667,0.233769
14.5333,0.233729
14.6,0.234039
14.6667,0.2342
14.7333,0.234184
14.8,0.233917
14.8667,0.233933
14.9333,0.233643
15,0.233518
15.0667,0.233408
15.1333,0.233459
15.2,0.233522
15.2667,0.233149
15.3333,0.233263
15.4,0.23324
