Time,Queue Density
0,1
0.0666667,0.0732687
0.133333,0.0724536
0.2,0.0734646
0.266667,0.0770738
0.333333,0.083477
0.4,0.0872508
0.466667,0.0940459
0.533333,0.0991246
0.6,0.100108
0.666667,0.10231
0.733333,0.104286
0.8,0.104967
0.866667,0.106774
0.933333,0.108412
1,0.108334
1.06667,0.109697
1.13333,0.110798
1.2,0.11148
1.26667,0.112793
1.33333,0.113067
1.4,0.11402
1.46667,0.114717
1.53333,0.116304
1.6,0.117304
1.66667,0.119561
1.73333,0.122167
1.8,0.123495
1.86667,0.12585
1.93333,0.127222
2,0.127461
2.06667,0.128582
2.13333,0.129863
2.2,0.130212
2.26667,0.130404
2.33333,0.130447
2.4,0.13098
2.46667,0.131341
2.53333,0.132403
2.6,0.133108
2.66667,0.133186
2.73333,0.134393
2.8,0.134891
2.86667,0.13582
2.93333,0.136674
3,0.138002
3.06667,0.138269
3.13333,0.138332
3.2,0.13859
3.26667,0.139354
3.33333,0.139613
3.4,0.140432
3.46667,0.141514
3.53333,0.142936
3.6,0.143971
3.66667,0.145683
3.73333,0.146628
3.8,0.147129
3.86667,0.147533
3.93333,0.147803
4,0.148164
4.06667,0.147854
4.13333,0.146255
4.2,0.144954
4.26667,0.144061
4.33333,0.142662
4.4,0.142724
4.46667,0.142568
4.53333,0.142615
4.6,0.142548
4.66667,0.141608
4.73333,0.142713
4.8,0.143798
4.86667,0.144852
4.93333,0.145742
5,0.14546
5.06667,0.146694
5.13333,0.147807
5.2,0.149316
5.26667,0.152086
5.33333,0.155923
5.4,0.157283
5.46667,0.159736
5.53333,0.165257
5.6,0.168122
5.66667,0.173745
5.73333,0.179572
5.8,0.182943
5.86667,0.189836
5.93333,0.19598
6,0.198817
6.06667,0.204754
6.13333,0.207152
6.2,0.208034
6.26667,0.20901
6.33333,0.210421
6.4,0.211612
6.46667,0.2126
6.53333,0.214144
6.6,0.213924
6.66667,0.214375
6.73333,0.214614
6.8,0.214226
6.86667,0.214018
6.93333,0.213552
7,0.21327
7.06667,0.21278
7.13333,0.215927
7.2,0.216804
7.26667,0.220257
7.33333,0.224187
7.4,0.22606
7.46667,0.229356
7.53333,0.233095
7.6,0.235085
7.66667,0.239094
7.73333,0.242264
7.8,0.243009
7.86667,0.243072
7.93333,0.243264
8,0.241069
8.06667,0.242033
8.13333,0.2421
8.2,0.241622
8.26667,0.242398
8.33333,0.243064
8.4,0.243283
8.46667,0.243201
8.53333,0.243938
8.6,0.245019
8.66667,0.246175
8.73333,0.247155
8.8,0.247849
8.86667,0.249937
8.93333,0.251497
9,0.25272
9.06667,0.255396
9.13333,0.25723
9.2,0.25857
9.26667,0.259942
9.33333,0.261486
9.4,0.261451
9.46667,0.261858
9.53333,0.261694
9.6,0.261964
9.66667,0.261635
9.73333,0.260604
9.8,0.260702
9.86667,0.259139
9.93333,0.25763
10,0.256787
10.0667,0.255851
10.1333,0.254667
10.2,0.253887
10.2667,0.253209
10.3333,0.252155
10.4,0.251278
10.4667,0.249154
10.5333,0.24692
10.6,0.246179
10.6667,0.244588
10.7333,0.244267
10.8,0.243205
10.8667,0.242288
10.9333,0.240638
11,0.240626
11.0667,0.24018
11.1333,0.239643
11.2,0.23951
11.2667,0.238781
11.3333,0.237738
11.4,0.23746
11.4667,0.236672
11.5333,0.235763
11.6,0.235759
11.6667,0.235493
11.7333,0.235571
11.8,0.23536
11.8667,0.235171
11.9333,0.23467
12,0.23494
12.0667,0.23465
12.1333,0.234349
12.2,0.234211
12.2667,0.234086
12.3333,0.233353
12.4,0.233439
12.4667,0.232593
12.5333,0.232358
12.6,0.232526
12.6667,0.232115
12.7333,0.232358
12.8,0.232154
12.8667,0.231754
12.9333,0.231786
13,0.234
13.0667,0.234443
13.1333,0.234462
13.2,0.234556
13.2667,0.234568
13.3333,0.23445
13.4,0.234396
13.4667,0.23438
13.5333,0.234733
13.6,0.234803
13.6667,0.235164
13.7333,0.234819
13.8,0.23465
13.8667,0.234396
13.9333,0.234407
14,0.234529
14.0667,0.234968
14.1333,0.234972
14.2,0.234866
14.2667,0.234403
14.3333,0.234325
14.4,0.234055
14.4667,0.233784
14.5333,0.233725
14.6,0.234039
14.6667,0.234207
14.7333,0.234204
14.8,0.233949
14.8667,0.233961
14.9333,0.233655
15,0.233537
15.0667,0.233412
15.1333,0.233486
15.2,0.233553
15.2667,0.233169
15.3333,0.233283
15.4,0.233243
