Time,Queue Density
0,1
0,1
0.133333,0.0724418
0.133333,0.0724418
0.266667,0.0770503
0.266667,0.0770503
0.4,0.0872468
0.4,0.0872468
0.533333,0.0991167
0.533333,0.0991167
0.666667,0.102314
0.666667,0.102314
0.8,0.104971
0.8,0.104971
0.933333,0.108443
0.933333,0.108443
1.06667,0.109705
1.06667,0.109705
1.2,0.111492
1.2,0.111492
1.33333,0.11306
1.33333,0.11306
1.46667,0.114709
1.46667,0.114709
1.6,0.117304
1.6,0.117304
1.73333,0.122159
1.73333,0.122159
1.86667,0.125839
1.86667,0.125839
2,0.127449
2,0.127449
2.13333,0.129851
2.13333,0.129851
2.26667,0.130427
2.26667,0.130427
2.4,0.130976
2.4,0.130976
2.53333,0.132399
2.53333,0.132399
2.66667,0.133202
2.66667,0.133202
2.8,0.134895
2.8,0.134895
2.93333,0.136666
2.93333,0.136666
3.06667,0.138273
3.06667,0.138273
3.2,0.13859
3.2,0.13859
3.33333,0.139601
3.33333,0.139601
3.46667,0.141506
3.46667,0.141506
3.6,0.143959
3.6,0.143959
3.73333,0.146612
3.73333,0.146612
3.86667,0.147529
3.86667,0.147529
4,0.148164
4,0.148164
4.13333,0.146271
4.13333,0.146271
4.26667,0.144049
4.26667,0.144049
4.4,0.142724
4.4,0.142724
4.53333,0.142615
4.53333,0.142615
4.66667,0.141615
4.66667,0.141615
4.8,0.14381
4.8,0.14381
4.93333,0.145765
4.93333,0.145765
5.06667,0.146686
5.06667,0.146686
5.2,0.149312
5.2,0.149312
5.33333,0.155915
5.33333,0.155915
5.46667,0.159732
5.46667,0.159732
5.6,0.168126
5.6,0.168126
5.73333,0.179549
5.73333,0.179549
5.86667,0.189851
5.86667,0.189851
6,0.198833
6,0.198833
6.13333,0.207152
6.13333,0.207152
6.26667,0.20903
6.26667,0.20903
6.4,0.211624
6.4,0.211624
6.53333,0.214159
6.53333,0.214159
6.66667,0.214355
6.66667,0.214355
6.8,0.214241
6.8,0.214241
6.93333,0.213556
6.93333,0.213556
7.06667,0.212784
7.06667,0.212784
7.2,0.216816
7.2,0.216816
7.33333,0.224172
7.33333,0.224172
7.46667,0.229348
7.46667,0.229348
7.6,0.235093
7.6,0.235093
7.73333,0.242225
7.73333,0.242225
7.86667,0.24306
7.86667,0.24306
8,0.241089
8,0.241089
8.13333,0.242068
8.13333,0.242068
8.26667,0.242394
8.26667,0.242394
8.4,0.243291
8.4,0.243291
8.53333,0.243946
8.53333,0.243946
8.66667,0.246171
8.66667,0.246171
8.8,0.247856
8.8,0.247856
8.93333,0.251446
8.93333,0.251446
9.06667,0.25542
9.06667,0.25542
9.2,0.258598
9.2,0.258598
9.33333,0.26147
9.33333,0.26147
9.46667,0.26187
9.46667,0.26187
9.6,0.261984
9.6,0.261984
9.73333,0.260616
9.73333,0.260616
9.86667,0.259154
9.86667,0.259154
10,0.256791
10,0.256791
10.1333,0.254659
10.1333,0.254659
10.2667,0.253221
10.2667,0.253221
10.4,0.251281
10.4,0.251281
10.5333,0.246936
10.5333,0.246936
10.6667,0.2446
10.6667,0.2446
10.8,0.243205
10.8,0.243205
10.9333,0.240646
10.9333,0.240646
11.0667,0.240207
11.0667,0.240207
11.2,0.23951
11.2,0.23951
11.3333,0.237719
11.3333,0.237719
11.4667,0.236641
11.4667,0.236641
11.6,0.235748
11.6,0.235748
11.7333,0.235559
11.7333,0.235559
11.8667,0.235164
11.8667,0.235164
12,0.234979
12,0.234979
12.1333,0.23436
12.1333,0.23436
12.2667,0.23411
12.2667,0.23411
12.4,0.233455
12.4,0.233455
12.5333,0.232377
12.5333,0.232377
12.6667,0.232131
12.6667,0.232131
12.8,0.232193
12.8,0.232193
12.9333,0.231797
12.9333,0.231797
13.0667,0.234447
13.0667,0.234447
13.2,0.234552
13.2,0.234552
13.3333,0.234447
13.3333,0.234447
13.4667,0.234384
13.4667,0.234384
13.6,0.234811
13.6,0.234811
13.7333,0.234807
13.7333,0.234807
13.8667,0.234396
13.8667,0.234396
14,0.234537
14,0.234537
14.1333,0.234968
14.1333,0.234968
14.2667,0.234396
14.2667,0.234396
14.4,0.234055
14.4,0.234055
14.5333,0.233729
14.5333,0.233729
14.6667,0.2342
14.6667,0.2342
14.8,0.233917
14.8,0.233917
14.9333,0.233643
14.9333,0.233643
15.0667,0.233408
15.0667,0.233408
15.2,0.233522
15.2,0.233522
15.3333,0.233263
15.3333,0.233263
15.4667,0.233298
15.4667,0.233298
15.6,0.233557
15.6,0.233557
15.7333,0.234117
15.7333,0.234117
15.8667,0.233514
15.8667,0.233514
16,0.231903
16,0.231903
16.1333,0.233169
16.1333,0.233169
16.2667,0.233659
16.2667,0.233659
16.4,0.232503
16.4,0.232503
16.5333,0.233102
16.5333,0.233102
16.6667,0.232381
16.6667,0.232381
16.8,0.232146
16.8,0.232146
16.9333,0.231453
16.9333,0.231453
17.0667,0.231833
17.0667,0.231833
17.2,0.23177
17.2,0.23177
17.3333,0.232174
17.3333,0.232174
17.4667,0.231594
17.4667,0.231594
17.6,0.231989
17.6,0.231989
17.7333,0.232107
17.7333,0.232107
17.8667,0.231915
17.8667,0.231915
18,0.230579
18,0.230579
18.1333,0.230434
18.1333,0.230434
18.2667,0.23061
18.2667,0.23061
18.4,0.231515
18.4,0.231515
18.5333,0.233189
18.5333,0.233189
18.6667,0.234784
18.6667,0.234784
18.8,0.237389
18.8,0.237389
18.9333,0.241179
18.9333,0.241179
19.0667,0.243569
19.0667,0.243569
19.2,0.242672
19.2,0.242672
19.3333,0.239635
19.3333,0.239635
19.4667,0.237738
19.4667,0.237738
19.6,0.235779
19.6,0.235779
19.7333,0.233522
19.7333,0.233522
19.8667,0.231241
19.8667,0.231241
20,0.229462
20,0.229462
20.1333,0.227518
20.1333,0.227518
20.2667,0.227401
20.2667,0.227401
20.4,0.227812
20.4,0.227812
20.5333,0.228804
20.5333,0.228804
20.6667,0.229231
20.6667,0.229231
20.8,0.22994
20.8,0.22994
20.9333,0.231582
20.9333,0.231582
21.0667,0.232675
21.0667,0.232675
21.2,0.232099
21.2,0.232099
21.3333,0.232863
21.3333,0.232863
21.4667,0.232758
21.4667,0.232758
21.6,0.23282
21.6,0.23282
21.7333,0.233016
21.7333,0.233016
21.8667,0.232758
21.8667,0.232758
22,0.232687
22,0.232687
22.1333,0.23226
22.1333,0.23226
22.2667,0.232581
22.2667,0.232581
22.4,0.232538
22.4,0.232538
22.5333,0.232315
22.5333,0.232315
22.6667,0.233408
22.6667,0.233408
22.8,0.236143
22.8,0.236143
22.9333,0.238675
22.9333,0.238675
23.0667,0.241892
23.0667,0.241892
23.2,0.24255
23.2,0.24255
23.3333,0.242108
23.3333,0.242108
23.4667,0.240979
23.4667,0.240979
23.6,0.240454
23.6,0.240454
23.7333,0.24056
23.7333,0.24056
23.8667,0.240466
23.8667,0.240466
24,0.240317
24,0.240317
24.1333,0.240642
24.1333,0.240642
24.2667,0.240595
24.2667,0.240595
24.4,0.240568
24.4,0.240568
24.5333,0.24047
24.5333,0.24047
24.6667,0.23987
24.6667,0.23987
24.8,0.240066
24.8,0.240066
24.9333,0.239956
24.9333,0.239956
25.0667,0.239557
25.0667,0.239557
25.2,0.238812
25.2,0.238812
25.3333,0.238016
25.3333,0.238016
25.4667,0.238781
25.4667,0.238781
25.6,0.241261
25.6,0.241261
25.7333,0.246591
25.7333,0.246591
25.8667,0.249114
25.8667,0.249114
26,0.252943
26,0.252943
26.1333,0.256109
26.1333,0.256109
26.2667,0.257171
26.2667,0.257171
26.4,0.260224
26.4,0.260224
26.5333,0.261392
26.5333,0.261392
26.6667,0.261784
26.6667,0.261784
26.8,0.262469
26.8,0.262469
26.9333,0.264876
26.9333,0.264876
27.0667,0.268622
27.0667,0.268622
27.2,0.274382
27.2,0.274382
27.3333,0.283078
27.3333,0.283078
27.4667,0.291805
27.4667,0.291805
27.6,0.300556
27.6,0.300556
27.7333,0.31306
27.7333,0.31306
27.8667,0.322238
27.8667,0.322238
28,0.329864
28,0.329864
28.1333,0.341287
28.1333,0.341287
28.2667,0.351813
