Time,Queue Density
0,1
0.0666667,0.0735964
0.133333,0.0722099
0.2,0.0733289
0.266667,0.077128
0.333333,0.0834107
0.4,0.0874117
0.466667,0.0940274
0.533333,0.0990382
0.6,0.10013
0.666667,0.10227
0.733333,0.10418
0.8,0.104884
0.866667,0.106915
0.933333,0.108148
1,0.108198
1.06667,0.109808
1.13333,0.11109
1.2,0.111724
1.26667,0.112783
1.33333,0.113208
1.4,0.114175
1.46667,0.115124
1.53333,0.116292
1.6,0.117384
1.66667,0.119769
1.73333,0.122198
1.8,0.123552
1.86667,0.125845
1.93333,0.127411
2,0.127488
2.06667,0.128656
2.13333,0.129753
2.2,0.130364
2.26667,0.130615
2.33333,0.13061
2.4,0.131079
2.46667,0.1315
2.53333,0.132466
2.6,0.132902
2.66667,0.13353
2.73333,0.134496
2.8,0.135113
2.86667,0.136052
2.93333,0.136996
3,0.138115
3.06667,0.138055
3.13333,0.138072
3.2,0.138508
3.26667,0.139398
3.33333,0.139595
3.4,0.140566
3.46667,0.141505
3.53333,0.143306
3.6,0.144174
3.66667,0.145899
3.73333,0.146811
3.8,0.147253
3.86667,0.147744
3.93333,0.147679
4,0.148017
4.06667,0.147941
4.13333,0.146199
4.2,0.145026
4.26667,0.143983
4.33333,0.14275
4.4,0.142782
4.46667,0.142908
4.53333,0.142471
4.6,0.142488
4.66667,0.141756
4.73333,0.143044
4.8,0.143967
4.86667,0.145162
4.93333,0.145981
5,0.145719
5.06667,0.146887
5.13333,0.147804
5.2,0.149338
5.26667,0.152204
5.33333,0.155915
5.4,0.157073
5.46667,0.159671
5.53333,0.16496
5.6,0.167924
5.66667,0.173754
5.73333,0.17966
5.8,0.183098
5.86667,0.190096
5.93333,0.19621
6,0.198791
6.06667,0.204987
6.13333,0.207225
6.2,0.208005
6.26667,0.208961
6.33333,0.210211
6.4,0.211439
6.46667,0.212721
6.53333,0.214141
6.6,0.213633
6.66667,0.214157
6.73333,0.214425
6.8,0.214364
6.86667,0.213873
6.93333,0.213038
7,0.213273
7.06667,0.212651
7.13333,0.215904
7.2,0.216761
7.26667,0.220096
7.33333,0.223906
7.4,0.225794
7.46667,0.229506
7.53333,0.233245
7.6,0.234937
7.66667,0.239059
7.73333,0.242514
7.8,0.242738
7.86667,0.24301
7.93333,0.243513
8,0.241149
8.06667,0.241859
8.13333,0.242317
8.2,0.24205
8.26667,0.242688
8.33333,0.243349
8.4,0.243584
8.46667,0.243562
8.53333,0.244244
8.6,0.244915
8.66667,0.246024
8.73333,0.247432
8.8,0.247907
8.86667,0.250297
8.93333,0.251597
9,0.252858
9.06667,0.25568
9.13333,0.25735
9.2,0.259064
9.26667,0.260401
9.33333,0.261416
9.4,0.261869
9.46667,0.261766
9.53333,0.262295
9.6,0.262443
9.66667,0.2617
9.73333,0.260598
9.8,0.260712
9.86667,0.259304
9.93333,0.257595
10,0.256646
10.0667,0.256127
10.1333,0.254746
10.2,0.254151
10.2667,0.25324
10.3333,0.252033
10.4,0.251225
10.4667,0.249233
10.5333,0.247028
10.6,0.246209
10.6667,0.244932
10.7333,0.24431
10.8,0.243201
10.8667,0.242274
10.9333,0.240767
11,0.240505
11.0667,0.240396
11.1333,0.239714
11.2,0.239643
11.2667,0.238769
11.3333,0.23789
11.4,0.237623
11.4667,0.237028
11.5333,0.236073
11.6,0.236078
11.6667,0.235794
11.7333,0.236089
11.8,0.235762
11.8667,0.23538
11.9333,0.235008
12,0.234981
12.0667,0.235161
12.1333,0.234861
12.2,0.234675
12.2667,0.234473
12.3333,0.233807
12.4,0.233846
12.4667,0.232852
12.5333,0.232454
12.6,0.232765
12.6667,0.232432
12.7333,0.232645
12.8,0.232634
12.8667,0.232044
12.9333,0.231924
13,0.234031
13.0667,0.234441
13.1333,0.234495
13.2,0.234402
13.2667,0.234211
13.3333,0.234566
13.4,0.234381
13.4667,0.234392
13.5333,0.234708
13.6,0.234812
13.6667,0.235047
13.7333,0.234899
13.8,0.234621
13.8667,0.234495
13.9333,0.234348
14,0.234583
14.0667,0.234872
14.1333,0.234932
14.2,0.234894
14.2667,0.234364
14.3333,0.234277
14.4,0.234151
14.4667,0.233955
14.5333,0.233857
14.6,0.23408
14.6667,0.234342
14.7333,0.234162
14.8,0.233955
14.8667,0.233802
14.9333,0.233567
15,0.233382
15.0667,0.233398
15.1333,0.23354
15.2,0.233567
15.2667,0.233109
15.3333,0.23324
15.4,0.233338
15.4667,0.233218
15.5333,0.233551
15.6,0.233693
15.6667,0.234086
15.7333,0.234408
15.8,0.234435
15.8667,0.233928
15.9333,0.233371
16,0.23235
16.0667,0.232421
16.1333,0.233633
16.2,0.233464
16.2667,0.233928
16.3333,0.232699
16.4,0.232765
16.4667,0.233027
16.5333,0.233147
16.6,0.232836
16.6667,0.232465
16.7333,0.232645
16.8,0.232525
16.8667,0.232088
16.9333,0.231864
17,0.231886
17.0667,0.231924
17.1333,0.231979
17.2,0.231728
17.2667,0.231995
17.3333,0.232083
17.4,0.232077
17.4667,0.231695
17.5333,0.231875
17.6,0.232066
17.6667,0.23199
17.7333,0.232028
