Time,Queue Density
0,1
0.0666667,0.0732334
0.133333,0.0722349
0.2,0.0731402
0.266667,0.0772538
0.333333,0.0831514
0.4,0.0869056
0.466667,0.0933623
0.533333,0.0986741
0.6,0.099779
0.666667,0.101896
0.733333,0.103853
0.8,0.104319
0.866667,0.106422
0.933333,0.10794
1,0.108126
1.06667,0.109511
1.13333,0.111121
1.2,0.111481
1.26667,0.112586
1.33333,0.113451
1.4,0.11397
1.46667,0.114849
1.53333,0.116007
1.6,0.117059
1.66667,0.119788
1.73333,0.121825
1.8,0.123476
1.86667,0.125965
1.93333,0.127549
2,0.127443
2.06667,0.129
2.13333,0.129919
2.2,0.130385
2.26667,0.130545
2.33333,0.130452
2.4,0.131503
2.46667,0.131517
2.53333,0.132422
2.6,0.132928
2.66667,0.133261
2.73333,0.133966
2.8,0.134765
2.86667,0.135737
2.93333,0.136456
3,0.137707
3.06667,0.137867
3.13333,0.13792
3.2,0.138546
3.26667,0.139384
3.33333,0.139584
3.4,0.140543
3.46667,0.141341
3.53333,0.143152
3.6,0.143751
3.66667,0.145349
3.73333,0.14652
3.8,0.146786
3.86667,0.147252
3.93333,0.147638
4,0.147865
4.06667,0.147798
4.13333,0.145908
4.2,0.144936
4.26667,0.144031
4.33333,0.142646
4.4,0.142393
4.46667,0.142673
4.53333,0.142593
4.6,0.142167
4.66667,0.141288
4.73333,0.14246
4.8,0.143525
4.86667,0.145162
4.93333,0.145828
5,0.145482
5.06667,0.146627
5.13333,0.147678
5.2,0.14897
5.26667,0.152032
5.33333,0.156052
5.4,0.15713
5.46667,0.159354
5.53333,0.164679
5.6,0.167354
5.66667,0.173785
5.73333,0.179403
5.8,0.182757
5.86667,0.189946
5.93333,0.195964
6,0.198919
6.06667,0.20503
6.13333,0.207373
6.2,0.208398
6.26667,0.208957
6.33333,0.209849
6.4,0.211193
6.46667,0.211752
6.53333,0.213696
6.6,0.21343
6.66667,0.213976
6.73333,0.214215
6.8,0.214189
6.86667,0.213417
6.93333,0.212804
7,0.212924
7.06667,0.212019
7.13333,0.214721
7.2,0.21572
7.26667,0.219434
7.33333,0.223614
7.4,0.225704
7.46667,0.228806
7.53333,0.23252
7.6,0.234131
7.66667,0.238165
7.73333,0.241187
7.8,0.241773
7.86667,0.241906
7.93333,0.242691
8,0.240654
8.06667,0.241719
8.13333,0.241972
8.2,0.241533
8.26667,0.242239
8.33333,0.242798
8.4,0.243184
8.46667,0.243157
8.53333,0.243743
8.6,0.244568
8.66667,0.245194
8.73333,0.246991
8.8,0.248269
8.86667,0.250533
8.93333,0.251025
9,0.252716
9.06667,0.254939
9.13333,0.256936
9.2,0.257841
9.26667,0.259732
9.33333,0.260996
9.4,0.261542
9.46667,0.261902
9.53333,0.262288
9.6,0.262101
9.66667,0.261489
9.73333,0.259985
9.8,0.260304
9.86667,0.258507
9.93333,0.257429
10,0.255937
10.0667,0.255032
10.1333,0.253901
10.2,0.253222
10.2667,0.251997
10.3333,0.250772
10.4,0.249893
10.4667,0.248376
10.5333,0.246272
10.6,0.245287
10.6667,0.244369
10.7333,0.243823
10.8,0.24345
10.8667,0.241839
10.9333,0.240042
11,0.240042
11.0667,0.239789
11.1333,0.23939
11.2,0.239217
11.2667,0.238538
11.3333,0.237539
11.4,0.237073
11.4667,0.235995
11.5333,0.235196
11.6,0.23517
11.6667,0.235143
11.7333,0.235502
11.8,0.235556
11.8667,0.234278
11.9333,0.234384
12,0.234597
12.0667,0.234371
12.1333,0.234318
12.2,0.234318
12.2667,0.233506
12.3333,0.233213
12.4,0.233159
12.4667,0.232667
12.5333,0.23244
12.6,0.232574
12.6667,0.232374
12.7333,0.232188
12.8,0.231921
12.8667,0.231642
12.9333,0.231256
13,0.233798
13.0667,0.234251
13.1333,0.234291
13.2,0.234091
13.2667,0.233945
13.3333,0.234184
13.4,0.233838
13.4667,0.234224
13.5333,0.234437
13.6,0.234491
13.6667,0.234704
13.7333,0.234544
13.8,0.234291
13.8667,0.234131
13.9333,0.234278
14,0.234451
14.0667,0.234411
14.1333,0.234877
14.2,0.23497
14.2667,0.234464
14.3333,0.234131
14.4,0.234025
14.4667,0.233758
14.5333,0.233506
14.6,0.233945
14.6667,0.234065
14.7333,0.234184
14.8,0.234291
14.8667,0.233758
14.9333,0.233506
15,0.233492
15.0667,0.233239
15.1333,0.233332
15.2,0.233559
15.2667,0.233
15.3333,0.233093
15.4,0.232986
15.4667,0.23276
15.5333,0.233093
15.6,0.233226
15.6667,0.233612
15.7333,0.234025
15.8,0.233892
15.8667,0.233705
15.9333,0.232946
16,0.231735
16.0667,0.232041
16.1333,0.23304
16.2,0.233226
16.2667,0.233346
16.3333,0.231855
16.4,0.231988
16.4667,0.232587
16.5333,0.232733
16.6,0.232627
16.6667,0.23244
16.7333,0.23268
16.8,0.232467
16.8667,0.232254
16.9333,0.231801
17,0.231841
17.0667,0.231815
17.1333,0.231762
17.2,0.231841
17.2667,0.231895
17.3333,0.231775
17.4,0.231935
17.4667,0.231562
17.5333,0.231828
17.6,0.231841
17.6667,0.231668
17.7333,0.231855
17.8,0.231668
17.8667,0.231642
17.9333,0.231935
18,0.230337
18.0667,0.230457
18.1333,0.230031
18.2,0.229924
18.2667,0.229884
18.3333,0.230257
18.4,0.230843
18.4667,0.231788
18.5333,0.232494
18.6,0.232827
18.6667,0.234211
18.7333,0.235875
18.8,0.237073
18.8667,0.238618
18.9333,0.240854
19,0.241693
19.0667,0.243264
19.1333,0.243197
19.2,0.242398
19.2667,0.24136
19.3333,0.239084
19.4,0.238871
19.4667,0.23734
19.5333,0.235862
19.6,0.235449
19.6667,0.234717
19.7333,0.233159
19.8,0.232281
19.8667,0.230883
19.9333,0.229019
20,0.22862
20.0667,0.227661
20.1333,0.226809
20.2,0.226623
20.2667,0.226689
20.3333,0.227049
20.4,0.226982
20.4667,0.227382
20.5333,0.22826
20.6,0.22858
20.6667,0.22838
20.7333,0.229698
20.8,0.229312
20.8667,0.229166
20.9333,0.230976
21,0.231482
21.0667,0.231868
21.1333,0.231841
21.2,0.231389
21.2667,0.230936
21.3333,0.232014
21.4,0.232081
21.4667,0.232081
21.5333,0.231469
21.6,0.231762
21.6667,0.231935
21.7333,0.231655
21.8,0.231482
21.8667,0.231642
21.9333,0.231309
22,0.231362
22.0667,0.231162
22.1333,0.230923
22.2,0.23083
22.2667,0.231162
22.3333,0.231029
22.4,0.231109
22.4667,0.23087
22.5333,0.230923
22.6,0.231069
22.6667,0.231948
