Time,Queue Density,Dynamic Density
0,1,1
0.2,0.073027,0.138861
0.4,0.0864136,0.0678322
0.6,0.1,0.0764236
0.8,0.105495,0.0855145
1,0.107792,0.0774226
1.2,0.111089,0.0758242
1.4,0.112388,0.0834166
1.6,0.116583,0.0655345
1.8,0.121379,0.0679321
2,0.125075,0.0857143
2.2,0.129071,0.0857143
2.4,0.13047,0.0845155
2.6,0.133966,0.078022
2.8,0.135764,0.0745255
3,0.138062,0.0891109
3.2,0.138561,0.0844156
3.4,0.142358,0.0806194
3.6,0.145455,0.0714286
3.8,0.149451,0.0709291
4,0.15015,0.0806194
4.2,0.146354,0.0773227
4.4,0.143457,0.0718282
4.6,0.141558,0.065035
4.8,0.142358,0.0664336
5,0.144755,0.0673327
5.2,0.148452,0.0669331
5.4,0.156643,0.0671329
5.6,0.166533,0.0724276
5.8,0.180619,0.0935065
6,0.198801,0.115684
6.2,0.20979,0.133367
6.4,0.212887,0.157443
6.6,0.215684,0.162238
6.8,0.214486,0.163636
7,0.212787,0.15974
7.2,0.215285,0.15035
7.4,0.223976,0.146953
7.6,0.232767,0.154745
7.8,0.241758,0.155245
8,0.241359,0.158042
8.2,0.240559,0.158442
8.4,0.241758,0.158442
8.6,0.244755,0.161039
8.8,0.246953,0.16014
9,0.252547,0.162637
9.2,0.255944,0.163636
9.4,0.259341,0.163836
9.6,0.262038,0.162238
9.8,0.260639,0.165634
10,0.255944,0.15974
10.2,0.253247,0.156543
10.4,0.24955,0.151149
10.6,0.245554,0.144356
10.8,0.243656,0.136663
11,0.240759,0.128172
11.2,0.238961,0.119481
11.4,0.235465,0.117083
11.6,0.235564,0.108891
11.8,0.234066,0.104496
12,0.234565,0.103097
12.2,0.233167,0.0984016
12.4,0.231768,0.0947053
12.6,0.232068,0.0894106
12.8,0.231169,0.082018
13,0.233467,0.0866134
13.2,0.232767,0.0811189
13.4,0.232567,0.0765235
13.6,0.232268,0.0711289
13.8,0.232567,0.066034
14,0.232068,0.0593407
14.2,0.233267,0.0537463
14.4,0.232268,0.0477522
14.6,0.232368,0.0433566
14.8,0.230969,0.0475524
15,0.23047,0.0427572
15.2,0.230569,0.040959
15.4,0.22997,0.0397602
15.6,0.231069,0.0385614
15.8,0.232368,0.034965
16,0.22987,0.028971
16.2,0.230769,0.0305694
16.4,0.230669,0.034965
16.6,0.231269,0.030969
16.8,0.231469,0.0280719
17,0.230769,0.0262737
17.2,0.23027,0.025974
17.4,0.231868,0.0262737
17.6,0.231968,0.0254745
17.8,0.23047,0.0234765
18,0.23027,0.0246753
18.2,0.229171,0.0235764
18.4,0.23027,0.0232767
18.6,0.231668,0.0254745
18.8,0.236563,0.0305694
19,0.242557,0.036963
19.2,0.242957,0.0414585
19.4,0.23976,0.0372627
19.6,0.236663,0.0346653
19.8,0.231768,0.0342657
20,0.228272,0.0294705
20.2,0.225075,0.0250749
20.4,0.226274,0.021978
20.6,0.228172,0.023976
20.8,0.228372,0.0262737
21,0.231668,0.0287712
21.2,0.231169,0.0290709
21.4,0.232567,0.0316683
21.6,0.232667,0.0310689
21.8,0.231668,0.0303696
22,0.231568,0.0311688
22.2,0.23047,0.0296703
22.4,0.23017,0.0303696
22.6,0.231369,0.0296703
22.8,0.234965,0.0328671
23,0.24016,0.0415584
23.2,0.241858,0.0436563
23.4,0.23996,0.0424575
23.6,0.23966,0.0424575
23.8,0.238761,0.0403596
24,0.23966,0.0385614
24.2,0.239461,0.0400599
24.4,0.23986,0.0396603
24.6,0.23956,0.0390609
24.8,0.238062,0.0373626
25,0.238262,0.0366633
