Time,Queue Density
0,1
0.0666667,0.073363
0.133333,0.0722879
0.2,0.0733159
0.266667,0.0769023
0.333333,0.0833333
0.4,0.087108
0.466667,0.0939276
0.533333,0.099158
0.6,0.100225
0.666667,0.102446
0.733333,0.104408
0.8,0.105106
0.866667,0.106907
0.933333,0.108583
1,0.108473
1.06667,0.109846
1.13333,0.110949
1.2,0.111636
1.26667,0.112927
1.33333,0.113205
1.4,0.114155
1.46667,0.114857
1.53333,0.116399
1.6,0.117325
1.66667,0.119593
1.73333,0.122198
1.8,0.123529
1.86667,0.125934
1.93333,0.127382
2,0.127613
2.06667,0.128728
2.13333,0.130019
2.2,0.130383
2.26667,0.130595
2.33333,0.130619
2.4,0.131145
2.46667,0.131513
2.53333,0.132569
2.6,0.133283
2.66667,0.133373
2.73333,0.134574
2.8,0.135068
2.86667,0.135987
2.93333,0.136842
3,0.138176
3.06667,0.138451
3.13333,0.138502
3.2,0.138769
3.26667,0.13953
3.33333,0.139781
3.4,0.140609
3.46667,0.141609
3.53333,0.14301
3.6,0.144042
3.66667,0.145741
3.73333,0.146667
3.8,0.147185
3.86667,0.147593
3.93333,0.147864
4,0.148225
4.06667,0.148068
4.13333,0.146459
4.2,0.145156
4.26667,0.144234
4.33333,0.142845
4.4,0.142908
4.46667,0.142751
4.53333,0.142798
4.6,0.142739
4.66667,0.141798
4.73333,0.1429
4.8,0.143995
4.86667,0.145031
4.93333,0.145953
5,0.145655
5.06667,0.146875
5.13333,0.147954
5.2,0.149375
5.26667,0.152113
5.33333,0.155978
5.4,0.157344
5.46667,0.159812
5.53333,0.165172
5.6,0.168036
5.66667,0.173702
5.73333,0.179454
5.8,0.182844
5.86667,0.189754
5.93333,0.19593
6,0.198759
6.06667,0.204747
6.13333,0.207333
6.2,0.208247
6.26667,0.209212
6.33333,0.210605
6.4,0.21181
6.46667,0.212795
6.53333,0.214368
6.6,0.214188
6.66667,0.214631
6.73333,0.21489
6.8,0.214517
6.86667,0.214317
6.93333,0.213831
7,0.213552
7.06667,0.212885
7.13333,0.215989
7.2,0.216868
7.26667,0.220285
7.33333,0.224209
7.4,0.226081
7.46667,0.229428
7.53333,0.233155
7.6,0.23516
7.66667,0.239163
7.73333,0.24238
7.8,0.243275
7.86667,0.243373
7.93333,0.243549
8,0.241399
8.06667,0.242333
8.13333,0.24238
8.2,0.241937
8.26667,0.242706
8.33333,0.243373
8.4,0.243604
8.46667,0.243506
8.53333,0.24426
8.6,0.245323
8.66667,0.246488
8.73333,0.247465
8.8,0.248175
8.86667,0.250224
8.93333,0.25177
9,0.253041
9.06667,0.255748
9.13333,0.2576
9.2,0.258931
9.26667,0.260339
9.33333,0.261807
9.4,0.261756
9.46667,0.262207
9.53333,0.262019
9.6,0.262321
9.66667,0.261956
9.73333,0.260951
9.8,0.261061
9.86667,0.259488
9.93333,0.257954
10,0.257122
10.0667,0.256188
10.1333,0.254987
10.2,0.254214
10.2667,0.253547
10.3333,0.252488
10.4,0.251605
10.4667,0.249482
10.5333,0.247253
10.6,0.246508
10.6667,0.244915
10.7333,0.244522
10.8,0.243518
10.8667,0.242612
10.9333,0.240956
11,0.240936
11.0667,0.240516
11.1333,0.239955
11.2,0.239818
11.2667,0.239076
11.3333,0.238025
11.4,0.237754
11.4667,0.236946
11.5333,0.236051
11.6,0.236051
11.6667,0.235772
11.7333,0.235863
11.8,0.235643
11.8667,0.235466
11.9333,0.234992
12,0.235282
12.0667,0.234992
12.1333,0.234662
12.2,0.234501
12.2667,0.234411
12.3333,0.233669
12.4,0.233756
12.4667,0.232928
12.5333,0.232676
12.6,0.232861
12.6667,0.232429
12.7333,0.232688
12.8,0.232492
12.8667,0.232072
12.9333,0.232096
13,0.234313
13.0667,0.234748
13.1333,0.23476
13.2,0.234854
13.2667,0.23487
13.3333,0.234748
13.4,0.234705
13.4667,0.234685
13.5333,0.235039
13.6,0.235113
13.6667,0.235458
13.7333,0.235109
13.8,0.234948
13.8667,0.234697
13.9333,0.234717
14,0.234838
14.0667,0.235282
14.1333,0.23527
14.2,0.235156
14.2667,0.234697
14.3333,0.234623
14.4,0.234356
14.4667,0.234069
14.5333,0.23403
14.6,0.23434
14.6667,0.234501
14.7333,0.234485
14.8,0.234219
14.8667,0.234234
14.9333,0.233944
15,0.233818
15.0667,0.233708
15.1333,0.233759
15.2,0.233822
15.2667,0.233449
15.3333,0.233563
15.4,0.23354
15.4667,0.233599
15.5333,0.233869
15.6,0.233858
15.6667,0.234203
