Time,Queue Density
0,1
0.0666667,0.0733291
0.133333,0.0722403
0.2,0.0733054
0.266667,0.076956
0.333333,0.0834218
0.4,0.0869932
0.466667,0.0938589
0.533333,0.0991527
0.6,0.100036
0.666667,0.102277
0.733333,0.104245
0.8,0.104922
0.866667,0.106585
0.933333,0.108449
1,0.108465
1.06667,0.10976
1.13333,0.110873
1.2,0.11153
1.26667,0.112892
1.33333,0.113339
1.4,0.114349
1.46667,0.114777
1.53333,0.116277
1.6,0.117239
1.66667,0.11958
1.73333,0.122304
1.8,0.123579
1.86667,0.125946
1.93333,0.127269
2,0.127597
2.06667,0.128702
2.13333,0.129989
2.2,0.130377
2.26667,0.130417
2.33333,0.130337
2.4,0.13105
2.46667,0.131311
2.53333,0.132369
2.6,0.133109
2.66667,0.133101
2.73333,0.134229
2.8,0.134732
2.86667,0.135746
2.93333,0.136669
3,0.138046
3.06667,0.138185
3.13333,0.138225
3.2,0.138506
3.26667,0.139226
3.33333,0.139511
3.4,0.140402
3.46667,0.14142
3.53333,0.142841
3.6,0.143926
3.66667,0.145637
3.73333,0.146535
3.8,0.147074
3.86667,0.147513
3.93333,0.147787
4,0.148115
4.06667,0.147949
4.13333,0.146334
4.2,0.144975
4.26667,0.144025
4.33333,0.142592
4.4,0.142651
4.46667,0.142521
4.53333,0.142588
4.6,0.142536
4.66667,0.141547
4.73333,0.142631
4.8,0.143748
4.86667,0.144821
4.93333,0.145779
5,0.145542
5.06667,0.146761
5.13333,0.147846
5.2,0.149248
5.26667,0.151972
5.33333,0.155888
5.4,0.157242
5.46667,0.159784
5.53333,0.165161
5.6,0.168043
5.66667,0.173666
5.73333,0.17932
5.8,0.182713
5.86667,0.18948
5.93333,0.19566
6,0.198543
6.06667,0.204522
6.13333,0.207048
6.2,0.207733
6.26667,0.208647
6.33333,0.210144
6.4,0.211364
6.46667,0.212373
6.53333,0.213822
6.6,0.213727
6.66667,0.214139
6.73333,0.214357
6.8,0.213993
6.86667,0.213799
6.93333,0.213442
7,0.213157
7.06667,0.21265
7.13333,0.215929
7.2,0.216836
7.26667,0.220363
7.33333,0.224117
7.4,0.225966
7.46667,0.229134
7.53333,0.232879
7.6,0.234958
7.66667,0.239001
7.73333,0.242362
7.8,0.243285
7.86667,0.243273
7.93333,0.243352
8,0.241182
8.06667,0.242113
8.13333,0.242176
8.2,0.241677
8.26667,0.242505
8.33333,0.242952
8.4,0.24319
8.46667,0.243273
8.53333,0.244148
8.6,0.245078
8.66667,0.246183
8.73333,0.24711
8.8,0.247799
8.86667,0.249933
8.93333,0.251473
9,0.252783
9.06667,0.255432
9.13333,0.257388
9.2,0.258707
9.26667,0.260223
9.33333,0.261649
9.4,0.261546
9.46667,0.262053
9.53333,0.261676
9.6,0.262017
9.66667,0.261554
9.73333,0.26052
9.8,0.260643
9.86667,0.259103
9.93333,0.257586
10,0.256787
10.0667,0.255805
10.1333,0.254589
10.2,0.253797
10.2667,0.253183
10.3333,0.252158
10.4,0.251299
10.4667,0.24926
10.5333,0.247066
10.6,0.24631
10.6667,0.244639
10.7333,0.244239
10.8,0.243194
10.8667,0.242287
