Time,Queue Density
0.0666667,0.0734575
0.133333,0.072381
0.2,0.0734104
0.266667,0.0770014
0.333333,0.0834407
0.4,0.0872203
0.466667,0.0940486
0.533333,0.0992857
0.6,0.100354
0.666667,0.102578
0.733333,0.104543
0.8,0.105242
0.866667,0.107045
0.933333,0.108723
1,0.108613
1.06667,0.109988
1.13333,0.111092
1.2,0.111779
1.26667,0.113072
1.33333,0.113351
1.4,0.114302
1.46667,0.114805
1.53333,0.116302
1.6,0.117252
1.66667,0.119511
1.73333,0.122116
1.8,0.123452
1.86667,0.125864
1.93333,0.127318
2,0.127609
2.06667,0.128662
2.13333,0.129962
2.2,0.130331
2.26667,0.130548
2.33333,0.130563
2.4,0.13116
2.46667,0.131455
2.53333,0.132508
2.6,0.133203
2.66667,0.133298
2.73333,0.1345
2.8,0.134995
2.86667,0.13591
2.93333,0.136771
3,0.138126
3.06667,0.138425
3.13333,0.138484
3.2,0.138755
3.26667,0.139525
3.33333,0.1398
3.4,0.140645
3.46667,0.141619
3.53333,0.143077
3.6,0.144137
3.66667,0.145843
3.73333,0.14675
3.8,0.147284
3.86667,0.147701
3.93333,0.147944
4,0.148306
4.06667,0.148153
4.13333,0.146569
4.2,0.145257
4.26667,0.144361
4.33333,0.142947
4.4,0.142994
4.46667,0.142833
4.53333,0.14288
4.6,0.142821
4.66667,0.141851
4.73333,0.142947
4.8,0.144043
4.86667,0.145096
4.93333,0.146055
5,0.145811
5.06667,0.147064
5.13333,0.148145
5.2,0.149567
5.26667,0.152309
5.33333,0.156179
5.4,0.157547
5.46667,0.160018
5.53333,0.165385
5.6,0.168253
5.66667,0.173926
5.73333,0.179686
5.8,0.18308
5.86667,0.189999
5.93333,0.196183
6,0.199015
6.06667,0.205011
6.13333,0.2076
6.2,0.208515
6.26667,0.209482
6.33333,0.210877
6.4,0.212083
6.46667,0.213069
6.53333,0.214644
6.6,0.214464
6.66667,0.214908
6.73333,0.215167
6.8,0.214794
6.86667,0.214593
6.93333,0.214106
7,0.213827
7.06667,0.213159
7.13333,0.216267
7.2,0.217147
7.26667,0.220569
7.33333,0.22436
7.4,0.226227
7.46667,0.22957
7.53333,0.233298
7.6,0.235298
7.66667,0.239274
7.73333,0.242492
7.8,0.243329
7.86667,0.243403
7.93333,0.243561
8,0.2414
8.06667,0.242347
8.13333,0.242421
8.2,0.241946
8.26667,0.242751
8.33333,0.243384
8.4,0.243616
8.46667,0.243549
8.53333,0.244327
8.6,0.245415
8.66667,0.246547
8.73333,0.247474
8.8,0.248177
8.86667,0.250228
8.93333,0.251819
9,0.253041
9.06667,0.255716
9.13333,0.257579
9.2,0.258907
9.26667,0.260282
9.33333,0.261743
9.4,0.261684
9.46667,0.262152
9.53333,0.261787
9.6,0.262085
9.66667,0.261728
9.73333,0.260726
9.8,0.260871
9.86667,0.259315
9.93333,0.257787
10,0.256946
10.0667,0.256035
10.1333,0.254825
10.2,0.254031
10.2667,0.253375
10.3333,0.252318
10.4,0.251418
10.4667,0.249293
10.5333,0.247061
10.6,0.246319
10.6667,0.24472
10.7333,0.244331
10.8,0.243325
10.8667,0.242421
10.9333,0.240822
11,0.240814
11.0667,0.240394
11.1333,0.239773
11.2,0.239624
11.2667,0.238881
11.3333,0.237832
11.4,0.237561
11.4667,0.236752
11.5333,0.23586
11.6,0.23586
11.6667,0.235652
11.7333,0.235672
11.8,0.235455
11.8667,0.235263
11.9333,0.234819
12,0.235106
12.0667,0.234823
12.1333,0.234477
12.2,0.234312
12.2667,0.234234
12.3333,0.233495
12.4,0.23355
12.4667,0.232737
12.5333,0.232485
12.6,0.232654
12.6667,0.232234
12.7333,0.232501
12.8,0.232301
12.8667,0.231876
12.9333,0.231896
13,0.234108
13.0667,0.234544
13.1333,0.234556
13.2,0.234654
13.2667,0.23467
13.3333,0.234548
13.4,0.234505
13.4667,0.234485
13.5333,0.234839
13.6,0.234909
13.6667,0.235255
13.7333,0.234909
13.8,0.234748
13.8667,0.234497
13.9333,0.234516
14,0.234634
14.0667,0.235078
14.1333,0.235066
14.2,0.234949
14.2667,0.234489
14.3333,0.234414
14.4,0.234147
14.4667,0.23386
14.5333,0.233821
14.6,0.234131
14.6667,0.234281
14.7333,0.234265
14.8,0.233998
14.8667,0.234014
14.9333,0.233731
15,0.233609
15.0667,0.233499
15.1333,0.233546
15.2,0.233609
15.2667,0.233236
15.3333,0.233342
15.4,0.233314
15.4667,0.233369
15.5333,0.23364
15.6,0.233629
15.6667,0.233974
15.7333,0.23419
15.8,0.234108
15.8667,0.233589
15.9333,0.232874
16,0.231974
16.0667,0.231971
16.1333,0.233247
16.2,0.233181
16.2667,0.233742
16.3333,0.232525
16.4,0.232587
16.4667,0.233177
16.5333,0.233196
16.6,0.232902
16.6667,0.232473
16.7333,0.232536
16.8,0.232234
16.8667,0.231727
16.9333,0.231534
17,0.231762
17.0667,0.231912
17.1333,0.231986
17.2,0.231849
17.2667,0.232187
17.3333,0.232257
17.4,0.232238
17.4667,0.231684
17.5333,0.232143
17.6,0.232084
17.6667,0.232147
17.7333,0.232202
17.8,0.232132
17.8667,0.232006
17.9333,0.232065
18,0.230662
18.0667,0.230592
18.1333,0.230513
18.2,0.230548
18.2667,0.23069
18.3333,0.231024
18.4,0.231479
18.4667,0.232442
18.5333,0.233157
18.6,0.233428
18.6667,0.234748
18.7333,0.236394
18.8,0.237322
18.8667,0.238964
18.9333,0.241105
19,0.241812
19.0667,0.243521
19.1333,0.243345
19.2,0.242787
19.2667,0.241549
19.3333,0.239742
19.4,0.239164
19.4667,0.23784
19.5333,0.236548
19.6,0.235876
19.6667,0.235204
19.7333,0.233629
19.8,0.232913
19.8667,0.231338
19.9333,0.229998
20,0.229562
20.0667,0.228517
20.1333,0.227606
20.2,0.227291
20.2667,0.227488
20.3333,0.227763
20.4,0.227896
20.4667,0.228179
20.5333,0.22889
20.6,0.229393
20.6667,0.229303
