Time,Queue Density,Dynamic Density
0,1,1
0.4,0.0872468,0.149308
0.866667,0.10677,0.114055
1.33333,0.11306,0.111684
1.8,0.123487,0.0914987
2.26667,0.130427,0.0953116
2.73333,0.134401,0.0957074
3.2,0.13859,0.0895824
3.66667,0.145679,0.0797895
4.13333,0.146271,0.0770856
4.6,0.142556,0.0710154
5.06667,0.146686,0.0671084
5.53333,0.165253,0.0690051
6,0.198833,0.108569
6.46667,0.212607,0.147227
6.93333,0.213556,0.143218
7.4,0.226041,0.132645
7.86667,0.24306,0.1501
8.33333,0.24306,0.136404
8.8,0.247856,0.156926
9.26667,0.260005,0.138849
9.73333,0.260616,0.156859
10.2,0.253887,0.137881
10.6667,0.2446,0.125776
11.1333,0.239647,0.112578
11.6,0.235748,0.109043
12.0667,0.234689,0.100155
12.5333,0.232377,0.0890691
13,0.234012,0.0846095
13.4667,0.234384,0.0754985
13.9333,0.234415,0.0653959
14.4,0.234055,0.0513943
14.8667,0.233933,0.0466173
15.3333,0.233263,0.0390973
15.8,0.234035,0.0357663
16.2667,0.233659,0.0305152
16.7333,0.232448,0.0287557
17.2,0.23177,0.0240767
17.6667,0.232056,0.0239905
18.1333,0.230434,0.0241042
18.6,0.233498,0.0233243
19.0667,0.243569,0.036601
19.5333,0.236449,0.0324942
20,0.229462,0.0267219
20.4667,0.228094,0.019484
20.9333,0.231582,0.0266514
21.4,0.232942,0.0316791
21.8667,0.232758,0.029853
22.3333,0.232558,0.028548
22.8,0.236143,0.030621
23.2667,0.242476,0.0415504
23.7333,0.24056,0.0370243
24.2,0.240587,0.0367695
24.6667,0.23987,0.0380862
25.1333,0.239012,0.0361465
25.6,0.241261,0.0394265
26.0667,0.254346,0.0584402
26.5333,0.261392,0.0714739
27,0.265628,0.0789783
27.4667,0.291805,0.113667
27.9333,0.327568,0.158521
28.4,0.362703,0.209657
28.8667,0.402666,0.254342
29.3333,0.4319,0.290422
29.8,0.452528,0.325385
30.2667,0.472702,0.346201
30.7333,0.483968,0.363451
31.2,0.486762,0.371806
31.6667,0.494306,0.381991
32.1333,0.494189,0.38029
32.6,0.494894,0.376901
33.0667,0.497429,0.378335
33.5333,0.518112,0.393199
34,0.547468,0.406518
34.4667,0.557731,0.405053
34.9333,0.582599,0.41697
35.4,0.59048,0.408321
35.8667,0.591718,0.397086
36.3333,0.593987,0.405049
36.8,0.590621,0.382685
37.2667,0.585624,0.363463
37.7333,0.5822,0.35041
38.2,0.588097,0.345982
38.6667,0.603796,0.348693
39.1333,0.619584,0.350755
39.6,0.639107,0.359243
40.0667,0.680595,0.429255
40.5333,0.704582,0.459664
41,0.720966,0.477879
41.4667,0.733592,0.512822
41.9333,0.735379,0.498288
42.4,0.739368,0.494537
42.8667,0.738804,0.482808
43.3333,0.746963,0.487973
43.8,0.751266,0.473886
44.2667,0.758566,0.465049
44.7333,0.765495,0.458113
45.2,0.768148,0.44147
45.6667,0.771827,0.425309
46.1333,0.773391,0.407816
46.6,0.775864,0.398289
47.0667,0.777764,0.3802
47.5333,0.779618,0.36748
48,0.790485,0.388865
48.4667,0.789015,0.365579
48.9333,0.789301,0.349305
49.4,0.789513,0.332415
49.8667,0.797542,0.320749
50.3333,0.799564,0.298945
50.8,0.801441,0.282071
51.2667,0.804835,0.269809
51.7333,0.820298,0.278438
52.2,0.818382,0.257305
52.6667,0.816709,0.245133
53.1333,0.811105,0.221299
53.6,0.806438,0.210272
54.0667,0.806062,0.202838
54.5333,0.838752,0.209794
55,0.887665,0.239372
55.4667,0.89738,0.236186
55.9333,0.897956,0.227307
56.4,0.905876,0.235124
56.8667,0.906518,0.219477
57.3333,0.905206,0.208359
57.8,0.905351,0.197559
58.2667,0.907091,0.18942
58.7333,0.906272,0.179051
59.2,0.906961,0.166934
59.6667,0.90579,0.155519
60.1333,0.90508,0.145679
60.6,0.905989,0.136219
61.0667,0.906381,0.125592
61.5333,0.906448,0.111026
62,0.904516,0.103212
62.4667,0.905562,0.092929
62.9333,0.904371,0.0897196
63.4,0.904332,0.0819291
63.8667,0.906146,0.080969
64.3333,0.905621,0.0735508
64.8,0.904853,0.0694479
65.2667,0.903764,0.0633073
65.7333,0.90151,0.0627351
66.2,0.903411,0.0561125
66.6667,0.90392,0.0526013
67.1333,0.902506,0.0550897
67.6,0.901024,0.0530284
68.0667,0.901444,0.0457983
68.5333,0.901471,0.0418051
69,0.901714,0.0382665
69.4667,0.901561,0.0385251
69.9333,0.901604,0.0363385
70.4,0.901738,0.0337717
70.8667,0.899688,0.035061
71.3333,0.899343,0.0296531
71.8,0.900221,0.026812
72.2667,0.900433,0.0258637
72.7333,0.901675,0.0311579
73.2,0.901514,0.0305427
73.6667,0.901009,0.0292142
74.1333,0.899743,0.0327842
74.6,0.900225,0.0273606
75.0667,0.901228,0.0272078
75.5333,0.899731,0.0301351
76,0.901804,0.0351041
76.4667,0.900699,0.031636
76.9333,0.902451,0.0292221
77.4,0.893238,0.0351198
77.8667,0.892411,0.030429
78.3333,0.896302,0.026718
78.8,0.896761,0.0236849
79.2667,0.900962,0.0272196
79.7333,0.902521,0.0236653
80.2,0.903172,0.0195271
80.6667,0.903062,0.0187786
81.1333,0.903176,0.0209104
81.6,0.902192,0.0197936
82.0667,0.901671,0.0235399
82.5333,0.900574,0.029947
83,0.899551,0.0314753
83.4667,0.898983,0.0281562
83.9333,0.897854,0.0266396
84.4,0.897995,0.0279171
84.8667,0.897153,0.0266788
85.3333,0.899053,0.0262046
85.8,0.897642,0.028885
86.2667,0.89624,0.0294572
86.7333,0.897619,0.0255619
87.2,0.89803,0.0229364
87.6667,0.894178,0.0202952
88.1333,0.893046,0.018132
88.6,0.891514,0.0161883
89.0667,0.890232,0.0220037
89.5333,0.888042,0.0194526
90,0.889629,0.0253699
90.4667,0.891055,0.0359035
90.9333,0.893257,0.0463901
91.4,0.894057,0.0460452
91.8667,0.890463,0.0455397
92.3333,0.892442,0.0442073
92.8,0.894927,0.0469152
93.2667,0.89622,0.0435411
93.7333,0.89738,0.0427417
94.2,0.900754,0.0483494
94.6667,0.900413,0.0547213
95.1333,0.900989,0.0729356
95.6,0.898712,0.11237
96.0667,0.900358,0.161193
96.5333,0.89698,0.220221
97,0.898136,0.283023
97.4667,0.908419,0.336843
97.9333,0.907337,0.398661
98.4,0.912933,0.473819
98.8667,0.913788,0.512485
99.3333,0.919897,0.54619
99.8,0.918486,0.607452
100.267,0.915516,0.630459
100.733,0.915645,0.638978
101.2,0.91668,0.665289
101.667,0.912342,0.6767
102.133,0.908552,0.696689
102.6,0.901256,0.68944
103.067,0.895816,0.707807
103.533,0.874718,0.713152
104,0.880059,0.732428
104.467,0.880569,0.735842
104.933,0.883731,0.752465
105.4,0.885557,0.752281
105.867,0.870388,0.722134
106.333,0.862389,0.712317
106.8,0.858165,0.72724
107.267,0.859423,0.747406
107.733,0.846099,0.764139
108.2,0.825448,0.750995
108.667,0.840096,0.760937
109.133,0.83805,0.726625
109.6,0.840503,0.694095
110.067,0.834778,0.682076
110.533,0.844226,0.671986
111,0.852009,0.682268
111.467,0.848161,0.681493
111.933,0.831851,0.654187
112.4,0.792871,0.668427
112.867,0.816403,0.668866
113.333,0.835679,0.714469
113.8,0.840711,0.701517
114.267,0.83399,0.68221
114.733,0.829143,0.680775
115.2,0.8227,0.67344
115.667,0.691062,0.668059
116.133,0.609106,0.608929
116.6,0.535421,0.527047
117.067,0.505239,0.488271
117.533,0.489012,0.48224
118,0.490117,0.48416
118.467,0.493742,0.510052
118.933,0.471538,0.511525
119.4,0.428154,0.467204
119.867,0.390608,0.427182
120.333,0.373672,0.426363
120.8,0.338458,0.419799
121.267,0.311626,0.406973
121.733,0.298553,0.371959
122.2,0.281624,0.345833
122.667,0.251889,0.291045
123.133,0.217404,0.248973
123.6,0.170751,0.212149
124.067,0.160849,0.205307
124.533,0.168909,0.237734
125,0.199773,0.283055
125.467,0.265843,0.333936
125.933,0.344622,0.336095
126.4,0.403701,0.380804
126.867,0.484697,0.435231
127.333,0.510404,0.48092
127.8,0.470723,0.446897
128.267,0.424208,0.420179
128.733,0.362182,0.377183
129.2,0.307935,0.303115
129.667,0.272831,0.273544
130.133,0.214159,0.203316
130.6,0.134758,0.138865
131.067,0.0587654,0.075957
131.533,0.016878,0.032357
132,0.0125282,0.0268434
132.467,0.0118973,0.0202129
132.933,0.0118855,0.0169486
133.4,0.0198327,0.0219214
133.867,0.125784,0.11478
134.333,0.254185,0.224634
134.8,0.370031,0.362244
135.267,0.434067,0.440655
135.733,0.403615,0.441368
136.2,0.3293,0.318402
136.667,0.268798,0.279046
137.133,0.208802,0.212176
137.6,0.130275,0.148614
138.067,0.0701259,0.082031
138.533,0.0286813,0.0263731
139,0.0202403,0.0196446
139.467,0.0184416,0.0151263
139.933,0.0210476,0.017556
140.4,0.058303,0.0513159
140.867,0.12531,0.103925
141.333,0.20247,0.170943
141.8,0.302245,0.302292
142.267,0.376575,0.389209
142.733,0.376105,0.439216
143.2,0.357769,0.4512
143.667,0.305297,0.435066
144.133,0.2938,0.350437
144.6,0.264597,0.32988
145.067,0.210519,0.233502
145.533,0.139903,0.133676
146,0.0800129,0.0759295
146.467,0.0401083,0.0341009
146.933,0.0241355,0.0164352
147.4,0.0125752,0.00627782
147.867,0.0124459,0.00612107
148.333,0.0125165,0.00620337
148.8,0.0125478,0.00636404
149.267,0.0124067,0.00692442
149.733,0.0135863,0.00803342
150.2,0.0149461,0.00937755
150.667,0.0171092,0.0107334
151.133,0.0260165,0.0192841
151.6,0.0755298,0.0638206
152.067,0.0977491,0.0986935
152.533,0.107859,0.110046
153,0.107566,0.111986
153.467,0.117433,0.118534
153.933,0.106562,0.106061
154.4,0.084394,0.0901389
154.867,0.0635894,0.0601723
155.333,0.0499796,0.0495721
155.8,0.0334896,0.0332897
156.267,0.0258872,0.026185
156.733,0.021847,0.0175834
157.2,0.0193233,0.0113408
157.667,0.0200835,0.0100359
158.133,0.0216236,0.0136255
158.6,0.0205616,0.0160668
159.067,0.047793,0.0328038
159.533,0.0728298,0.0743503
160,0.0791194,0.116328
160.467,0.0836886,0.123797
160.933,0.0645064,0.0709096
161.4,0.0361935,0.0297354
161.867,0.0093893,0.00173208
162.333,0.0314244,0.0273215
162.8,0.0533262,0.0516255
163.267,0.0606739,0.0520957
163.733,0.062888,0.0502383
164.2,0.0536123,0.0554502
164.667,0.0243197,0.0265651
165.133,0.0123205,0.0124812
165.6,0.0162118,0.0209809
166.067,0.019578,0.021796
166.533,0.0197465,0.02421
167,0.02093,0.0281444
167.467,0.0508143,0.0443993
167.933,0.0666852,0.0685858
168.4,0.077885,0.106876
168.867,0.0818664,0.10617
169.333,0.0867923,0.0994145
169.8,0.079668,0.0815372
170.267,0.0545606,0.0578524
170.733,0.0225328,0.0253307
171.2,0.0021122,0.0054157
171.667,0.00177127,0.00528246
172.133,0.00109333,0.00525111
172.6,0.000552542,0.00510612
173.067,0.000176343,0.0051649
173.533,0.000803342,0.00492978
174,0.00103847,0.00494937
174.467,0.00144993,0.00482789
174.933,0.00247273,0.00535692
175.4,0.0426202,0.0433805
175.867,0.064138,0.068962
176.333,0.123358,0.128891
176.8,0.1746,0.210213
177.267,0.190686,0.241069
177.733,0.17556,0.235324
178.2,0.167989,0.219481
178.667,0.154438,0.168239
179.133,0.123448,0.130098
179.6,0.0957466,0.101029
180.067,0.0629977,0.0638872
180.533,0.0524288,0.0534203
181,0.054157,0.0499012
181.467,0.0554933,0.0560262
181.933,0.0675787,0.0670967
182.4,0.0984309,0.093364
182.867,0.106539,0.104599
183.333,0.116681,0.118362
183.8,0.123867,0.128033
184.267,0.127265,0.131156
184.733,0.129373,0.136102
185.2,0.129424,0.140847
185.667,0.135698,0.144218
186.133,0.137611,0.143653
186.6,0.139107,0.139746
187.067,0.139558,0.134887
187.533,0.139981,0.131254
188,0.141184,0.131031
188.467,0.142019,0.131521
188.933,0.142811,0.133566
189.4,0.143783,0.131917
189.867,0.143163,0.130427
190.333,0.146949,0.134871
190.8,0.142141,0.126662
191.267,0.144641,0.128155
191.733,0.14546,0.128068
192.2,0.153591,0.135024
192.667,0.158685,0.144245
193.133,0.156597,0.139887
193.6,0.156456,0.13397
194.067,0.156338,0.133316
194.533,0.155523,0.130788
195,0.15653,0.127845
195.467,0.15983,0.127684
195.933,0.162926,0.125901
196.4,0.177652,0.135957
196.867,0.206306,0.155002
197.333,0.238044,0.176093
197.8,0.280472,0.212498
198.267,0.329041,0.285077
198.733,0.361523,0.330036
199.2,0.41456,0.448919
199.667,0.46626,0.501227
200.133,0.545544,0.543537
200.6,0.61605,0.550285
201.067,0.695059,0.554992
201.533,0.760067,0.556837
202,0.793659,0.566701
202.467,0.860861,0.572144
202.933,0.798153,0.569671
203.4,0.782698,0.552115
203.867,0.784101,0.550638
204.333,0.80924,0.56451
204.8,0.81049,0.561834
205.267,0.821885,0.556559
205.733,0.849203,0.543749
206.2,0.846017,0.533356
206.667,0.834833,0.534289
207.133,0.829915,0.526036
207.6,0.823437,0.511016
208.067,0.816771,0.489776
208.533,0.818355,0.476315
209,0.817818,0.466444
209.467,0.815631,0.45381
209.933,0.809083,0.441575
210.4,0.808197,0.432586
210.867,0.817261,0.421837
211.333,0.814514,0.407094
211.8,0.813296,0.394218
212.267,0.816685,0.390894
212.733,0.815709,0.386768
213.2,0.812625,0.381019
213.667,0.811799,0.370932
214.133,0.809961,0.358812
214.6,0.804706,0.346236
215.067,0.802687,0.336032
215.533,0.800387,0.32464
216,0.801339,0.311544
216.467,0.798494,0.29728
216.933,0.792655,0.285461
217.4,0.794262,0.276655
217.867,0.790516,0.262528
218.333,0.792189,0.25147
218.8,0.80159,0.239807
219.267,0.828567,0.226613
219.733,0.826298,0.213219
220.2,0.823668,0.20176
220.667,0.823429,0.191493
221.133,0.823057,0.182778
221.6,0.820361,0.174529
222.067,0.820365,0.166539
222.533,0.817199,0.158301
223,0.813158,0.149535
223.467,0.809596,0.141294
223.933,0.811395,0.13609
224.4,0.808722,0.130145
224.867,0.809573,0.114945
225.333,0.813652,0.106997
225.8,0.817747,0.0994537
226.267,0.815952,0.0922668
226.733,0.818445,0.0863769
227.2,0.816607,0.0830538
227.667,0.799353,0.0771561
228.133,0.803616,0.0691031
228.6,0.807272,0.0635267
229.067,0.844575,0.0624569
229.533,0.846111,0.0566728
230,0.850026,0.0534751
230.467,0.84972,0.0509476
230.933,0.850065,0.0502422
231.4,0.850179,0.044897
231.867,0.851394,0.0403199
232.333,0.85271,0.0392423
232.8,0.852299,0.0367304
233.267,0.852663,0.0345084
233.733,0.853984,0.033227
234.2,0.852256,0.0319142
234.667,0.85253,0.0288968
235.133,0.852459,0.0276937
235.6,0.852044,0.0267611
236.067,0.852091,0.0251662
236.533,0.852279,0.027294
237,0.852154,0.0283678
237.467,0.85126,0.0281248
237.933,0.852318,0.0261537
238.4,0.852569,0.0248683
238.867,0.852455,0.0259852
239.333,0.852338,0.0265965
239.8,0.849599,0.0236927
240.267,0.849987,0.0188727
240.733,0.850241,0.0207772
241.2,0.8505,0.0244373
241.667,0.847726,0.0268826
242.133,0.847561,0.0229913
242.6,0.850563,0.024257
243.067,0.85135,0.0249781
243.533,0.850629,0.0251818
244,0.850022,0.0242531
244.467,0.850551,0.0231794
244.933,0.849607,0.0231441
245.4,0.849955,0.0262203
245.867,0.850241,0.0259264
246.333,0.847306,0.0232891
246.8,0.848262,0.0370635
247.267,0.848188,0.0454848
247.733,0.848176,0.0459551
248.2,0.846193,0.0490587
248.667,0.845805,0.0484983
249.133,0.846562,0.0502735
249.6,0.849164,0.0504655
250.067,0.849654,0.0505282
250.533,0.849634,0.0482005
