Time,Queue Density,Dynamic Density
0,1,1
0,1,1
0,1,1
0.2,0.0734646,0.135204
0.2,0.0734646,0.135204
0.2,0.0734646,0.135204
0.4,0.0872508,0.0692285
0.4,0.0872508,0.0692285
0.4,0.0872508,0.0692285
0.6,0.100108,0.0790763
0.6,0.100108,0.0790763
0.6,0.100108,0.0790763
0.8,0.104967,0.0829402
0.8,0.104967,0.0829402
0.8,0.104967,0.0829402
1,0.108334,0.0772932
1,0.108334,0.0772932
1,0.108334,0.0772932
1.2,0.11148,0.0752869
1.2,0.11148,0.0752869
1.2,0.11148,0.0752869
1.4,0.11402,0.0831831
1.4,0.11402,0.0831831
1.4,0.11402,0.0831831
1.6,0.117304,0.0655997
1.6,0.117304,0.0655997
1.6,0.117304,0.0655997
1.8,0.123495,0.0694244
1.8,0.123495,0.0694244
1.8,0.123495,0.0694244
2,0.127461,0.0860947
2,0.127461,0.0860947
2,0.127461,0.0860947
2.2,0.130212,0.086804
2.2,0.130212,0.086804
2.2,0.130212,0.086804
2.4,0.13098,0.083477
2.4,0.13098,0.083477
2.4,0.13098,0.083477
2.6,0.133108,0.0775362
2.6,0.133108,0.0775362
2.6,0.133108,0.0775362
2.8,0.134891,0.0751575
2.8,0.134891,0.0751575
2.8,0.134891,0.0751575
3,0.138002,0.0907071
3,0.138002,0.0907071
3,0.138002,0.0907071
3.2,0.13859,0.0853463
3.2,0.13859,0.0853463
3.2,0.13859,0.0853463
3.4,0.140432,0.083187
3.4,0.140432,0.083187
3.4,0.140432,0.083187
3.6,0.143971,0.072195
3.6,0.143971,0.072195
3.6,0.143971,0.072195
3.8,0.147129,0.0729003
3.8,0.147129,0.0729003
3.8,0.147129,0.0729003
4,0.148164,0.0812159
4,0.148164,0.0812159
4,0.148164,0.0812159
4.2,0.144954,0.0792487
4.2,0.144954,0.0792487
4.2,0.144954,0.0792487
4.4,0.142724,0.0721754
4.4,0.142724,0.0721754
4.4,0.142724,0.0721754
4.6,0.142548,0.0637893
4.6,0.142548,0.0637893
4.6,0.142548,0.0637893
4.8,0.143798,0.0685427
4.8,0.143798,0.0685427
4.8,0.143798,0.0685427
5,0.14546,0.06636
5,0.14546,0.06636
5,0.14546,0.06636
5.2,0.149316,0.065345
5.2,0.149316,0.065345
5.2,0.149316,0.065345
5.4,0.157283,0.0666656
5.4,0.157283,0.0666656
5.4,0.157283,0.0666656
5.6,0.168122,0.0744913
5.6,0.168122,0.0744913
5.6,0.168122,0.0744913
5.8,0.182943,0.0943711
5.8,0.182943,0.0943711
5.8,0.182943,0.0943711
6,0.198817,0.117296
6,0.198817,0.117296
6,0.198817,0.117296
6.2,0.208034,0.132951
6.2,0.208034,0.132951
6.2,0.208034,0.132951
6.4,0.211612,0.156687
6.4,0.211612,0.156687
6.4,0.211612,0.156687
6.6,0.213924,0.158948
6.6,0.213924,0.158948
6.6,0.213924,0.158948
6.8,0.214226,0.16061
6.8,0.214226,0.16061
6.8,0.214226,0.16061
7,0.21327,0.158748
7,0.21327,0.158748
7,0.21327,0.158748
7.2,0.216804,0.150319
7.2,0.216804,0.150319
7.2,0.216804,0.150319
7.4,0.22606,0.14602
7.4,0.22606,0.14602
7.4,0.22606,0.14602
7.6,0.235085,0.155092
7.6,0.235085,0.155092
7.6,0.235085,0.155092
7.8,0.243009,0.15729
7.8,0.243009,0.15729
7.8,0.243009,0.15729
8,0.241069,0.158823
8,0.241069,0.158823
8,0.241069,0.158823
8.2,0.241622,0.158454
8.2,0.241622,0.158454
8.2,0.241622,0.158454
8.4,0.243283,0.160778
8.4,0.243283,0.160778
8.4,0.243283,0.160778
8.6,0.245019,0.160661
8.6,0.245019,0.160661
8.6,0.245019,0.160661
8.8,0.247849,0.160061
8.8,0.247849,0.160061
8.8,0.247849,0.160061
9,0.25272,0.162933
9,0.25272,0.162933
9,0.25272,0.162933
9.2,0.25857,0.16494
9.2,0.25857,0.16494
9.2,0.25857,0.16494
9.4,0.261451,0.166162
9.4,0.261451,0.166162
9.4,0.261451,0.166162
9.6,0.261964,0.163925
9.6,0.261964,0.163925
9.6,0.261964,0.163925
9.8,0.260702,0.166331
9.8,0.260702,0.166331
9.8,0.260702,0.166331
10,0.256787,0.161852
10,0.256787,0.161852
10,0.256787,0.161852
10.2,0.253887,0.158227
10.2,0.253887,0.158227
10.2,0.253887,0.158227
10.4,0.251278,0.153023
10.4,0.251278,0.153023
10.4,0.251278,0.153023
10.6,0.246179,0.144735
10.6,0.246179,0.144735
10.6,0.246179,0.144735
10.8,0.243205,0.13553
10.8,0.243205,0.13553
10.8,0.243205,0.13553
11,0.240626,0.126662
11,0.240626,0.126662
11,0.240626,0.126662
11.2,0.23951,0.120717
11.2,0.23951,0.120717
11.2,0.23951,0.120717
11.4,0.23746,0.117844
11.4,0.23746,0.117844
11.4,0.23746,0.117844
11.6,0.235759,0.11128
11.6,0.235759,0.11128
11.6,0.235759,0.11128
11.8,0.23536,0.107107
11.8,0.23536,0.107107
11.8,0.23536,0.107107
12,0.23494,0.103941
12,0.23494,0.103941
12,0.23494,0.103941
12.2,0.234211,0.100974
12.2,0.234211,0.100974
12.2,0.234211,0.100974
12.4,0.233439,0.0963501
12.4,0.233439,0.0963501
12.4,0.233439,0.0963501
12.6,0.232526,0.0905151
12.6,0.232526,0.0905151
12.6,0.232526,0.0905151
12.8,0.232154,0.0846174
12.8,0.232154,0.0846174
12.8,0.232154,0.0846174
13,0.234,0.0884146
13,0.234,0.0884146
13,0.234,0.0884146
13.2,0.234556,0.082948
13.2,0.234556,0.082948
13.2,0.234556,0.082948
13.4,0.234396,0.0776028
13.4,0.234396,0.0776028
13.4,0.234396,0.0776028
13.6,0.234803,0.0738291
13.6,0.234803,0.0738291
13.6,0.234803,0.0738291
13.8,0.23465,0.0678099
13.8,0.23465,0.0678099
13.8,0.23465,0.0678099
14,0.234529,0.0614263
14,0.234529,0.0614263
14,0.234529,0.0614263
14.2,0.234866,0.055795
14.2,0.234866,0.055795
14.2,0.234866,0.055795
14.4,0.234055,0.0507007
14.4,0.234055,0.0507007
14.4,0.234055,0.0507007
14.6,0.234039,0.0455671
14.6,0.234039,0.0455671
